DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Greece,Heraklion Airport,IMPERIAL BRANDS,Regular,Lights,STD,100,1,88536000,0.3
Turkey,Diyarbakir Airport,BAT,Regular,Full Flavor,SSL,100,3,11029400,0
India,Karipur,KING'S TOBACCO,,,,,1,7815,0
Turkey,Istanbul Asia Airport,JTI,Regular,Full Flavor,STD,100,1,148864600,0.1
Vietnam,Hanoi,KT & G,,,,,1,1487800,0
China,Fuzhou Changle,IMPERIAL BRANDS,Regular,Ultralights,SSL,100,1,939640,0
Turkey,Ankara Airport,KARELIA TOBACCO,Regular,1mg,STD,KS,1,315000,0
Hong Kong,Hong Kong,JTI,Regular,Full Flavor,STD,KS,4,9094414320,20.7
Brazil,Rio de Janeiro,BAT,Regular,Full Flavor,SSL,100,1,13542400,0.1
Portugal,Porto,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,34526000,0.2
Portugal,Faro Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,939763600,6.6
Mexico,Puerto Vallarta,IMPERIAL BRANDS,Menthol,Full Flavor,STD,100,1,2207800,0
Greece,Zakynthos,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,90616600,0.3
Mauritania,Nouakchott,BAT,Regular,Lights,SSL,100,1,33881200,14.2
South Korea,Jeju (downtown),Undefined,Regular,Full Flavor,STD,KS,1,7581600,0
Mexico,Los Cabos,IMPERIAL BRANDS,Regular,Lights,STD,100,1,2611200,0
China,Urumchi Diwobao,KT & G,NTD Caps,Lights,SSL,100,1,27055094,0
Spain,Sevilla,JTI,Regular,Lights,STD,KS,1,115104000,0.1
China,Guangzhou Baiyun,BAT,Regular,Full Flavor,STD,100,1,276369440,0.1
South Korea,Incheon,BAT,Menthol,Full Flavor,STD,KS,1,282876800,0.1
Turkey,Bodrum Airport,KARELIA TOBACCO,Regular,Lights,SSL,100,1,28737000,0
Cape Verde,Rabil,BAT,,,,,1,647834,0
Switzerland,Geneva,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,56430200,0.1
Mexico,Los Cabos,JTI,Regular,Full Flavor,SSL,100,1,21008400,0.1
France,Paris Orly,BAT,Regular,Full Flavor,SSL,100,1,1037194200,2.2
Morocco,Nador,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,9864000,0
Dominican Republic,Punta Cana - Higuey,JTI,Menthol,Full Flavor,STD,100,1,3504000,0
China,Urumchi Diwobao,KT & G,Menthol,Full Flavor,SSL,100,1,47692738,0
China,Beijing,BAT,Regular,1mg,STD,KS,1,94416108,0
Cape Verde,Praia,JTI,,,,,1,110892,0
China,Kunming Wujiaba,KT & G,Regular,1mg,SSL,100,1,55043990,0
China,Jinan Xiaoqiang,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,496491,0
Myanmar,Yangon,JTI,Regular,Full Flavor,STD,KS,2,2279542,13.2
China,Taiyuan Wusu,BAT,Regular,Full Flavor,STD,100,1,2104060,0
Peru,Lima,BAT,Regular,Lights,STD,KS,1,7434000,0.1
Russia,Krasnoyarsk,JTI,Regular,1mg,STD,KS,1,147000,0
China,Qingdao Liuting,KT & G,Regular,1mg,SSL,100,1,72796962,0
Jordan,Aqaba,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,5649600,0
India,Jaipur,JTI,,,,,1,163715,0
Macau,Macau,BAT,Regular,Full Flavor,STD,KS,3,1007178722,14.8
China,Qingdao Liuting,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,30183844,0
Morocco,Agadir,IMPERIAL BRANDS,Regular,1mg,STD,KS,2,119904640,0.1
Malaysia,Johor Bahru,BAT,Regular,Lights,STD,KS,1,11280000,0.1
Gibraltar,Gibraltar,IMPERIAL BRANDS,,,,,1,1931263,8.2
Portugal,Faro Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,265793600,1.9
Mexico,Mazatlan,JTI,Menthol,Full Flavor,SSL,100,1,1139600,0
China,Hangzhou Xiaoshan,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,903532,0
Turkey,Adana Airport,BAT,Regular,Lights,SLI,100,1,4892800,0
Morocco,Tangier,BAT,Menthol,Lights,SSL,100,1,12480000,0
Spain,Gerona,BAT,Regular,Lights,SSL,100,1,30302200,0
Turkey,Denizli Cardak Airport,BAT,Regular,Full Flavor,STD,100,2,3461400,0
Brazil,Viracopos,BAT,Menthol,Full Flavor,SSL,100,1,4336200,0
Spain,Bilbao,JTI,Regular,Lights,STD,KS,1,93984000,0.1
Cambodia,Sihanoukville,ALISHAN GROUP LTD,Regular,Full Flavor,STD,KS,1,8800,0
China,Chengdu Tianfu,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,99985062,0
Brazil,Florianopolis,BAT,Regular,Lights,SSL,100,1,23382800,0.2
India,Hyderabad,KING'S TOBACCO,,,,,1,80208,0
Netherlands,Rotterdam,BAT,Regular,Lights,STD,KS,1,14416000,3.4
Belarus,Minsk,IMPERIAL BRANDS,,,,,1,16618,10.5
United Arab Emirates,Dubai,JTI,Regular,Ultralights,STD,KS,1,1586255800,1
France,Tarbes - Lourdes,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,3282800,0
South Korea,Seoul,KT & G,NTD Caps,Full Flavor,SSL,100,1,131410400,0.1
United Arab Emirates,Dubai,GULBAHAR TOBACCO,Regular,Lights,SSL,100,1,53372000,0
Great Britain,East Midlands,JTI,Regular,Ultralights,STD,KS,1,74538000,0.1
Dominican Republic,Santo Domingo Las Americas,JTI,Regular,Full Flavor,SSL,100,1,27650400,0.2
Mexico,Cozumel,JTI,NTD Caps,Full Flavor,STD,KS,1,4514000,0
Turkey,Istanbul Asia Airport,JTI,Regular,Ultralights,STD,KS,1,74694000,0
Spain,Valencia,BAT,Regular,Full Flavor,SSL,100,1,5572800,0
Turkey,Denizli Cardak Airport,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,2380000,0
Spain,Valencia,JTI,Regular,Ultralights,STD,KS,1,8413200,0
China,Nanjing Lukou,BAT,Menthol,Full Flavor,STD,KS,1,7130256,0
Mayotte,Pamandzi,JTI,,,,,1,1365701,22.2
China,Changchun Longjia,CHINA NATIONAL,Regular,Lights,STD,KS,1,3780050,0
Vietnam,Phu Quok,BAT,,,,,1,2372,0
Cambodia,Sihanoukville,JTI,Regular,Lights,STD,KS,1,8400,0
South Korea,Cheongju,KT & G,Menthol,Full Flavor,STD,KS,1,3040000,0
Spain,Reus,JTI,Regular,Lights,STD,KS,1,30624000,0
France,Toulouse,KING'S TOBACCO,Menthol,Full Flavor,SSL,KS,1,285600,0
Bahrain,Manama,CHINA NATIONAL,Regular,Lights,STD,KS,1,27200,0
Turkey,Gaziantep Airport,JTI,Regular,Lights,STD,KS,1,84057600,0
Turkey,Bodrum Airport,BAT,NTD Caps,Lights,SSL,100,1,3840600,0
Great Britain,Leeds Bradford,JTI,Regular,Ultralights,STD,KS,1,81844200,0.1
Saudi Arabia,DAMMAM,BAT,Regular,Full Flavor,SSL,100,1,92032200,0.2
South Korea,Seoul,BAT,Regular,Lights,STD,KS,1,8400000,0
Turkey,Bodrum Airport,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,40485200,0
Spain,Madrid Barajas,JTI,Regular,Ultralights,STD,KS,1,43246800,0
China,Wuhan Tianhe,BAT,Regular,Full Flavor,STD,100,1,12367860,0
China,Taiyuan Wusu,BAT,Menthol,Full Flavor,STD,KS,1,725424,0
China,Changchun Longjia,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,1226700,0
China,Qingdao Liuting,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,14582600,0
Colombia,Cali,JTI,,,,,1,239892,0
China,Wuhan Tianhe,KARELIA TOBACCO,Menthol,Lights,SLI,100,1,86390,0
Kuwait,Kuwait,IMPERIAL BRANDS,Menthol,Lights,STD,LONGER THAN KS,1,730800,0
Aruba,Oranjestad,KING'S TOBACCO,Menthol,Full Flavor,SSL,KS,1,244800,0
China,Nanchang Changbei,KT & G,Menthol,Full Flavor,SSL,100,1,336509,0
India,Trichy,KING'S TOBACCO,,,,,1,7815,0
China,Xiamen Gaoqi,JTI,Regular,Full Flavor,STD,100,1,9054271,0
Tunisia,Sfax,BAT,Regular,Full Flavor,STD,KS,1,422400,0
Morocco,Agadir,JTI,Menthol,Lights,STD,KS,1,33927000,0
China,Xian Xianyang,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,12575943,0
China,Chongqing Jiangbei,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,255956,0
China,Qingdao Liuting,JTI,Menthol,Full Flavor,STD,KS,1,3722832,0
Greece,Chania,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,4116000,0
Ireland,Shannon,JTI,,,,,1,3413511,0
Turkey,Kutahya Airport,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,256800,0
Indonesia,Soekarno Hatta,IMPERIAL BRANDS,Regular,Lights,SSL,100,1,107400,0
Turkey,Cukurova Airport,BAT,Regular,Full Flavor,STD,KS,15,182285600,0.1
South Korea,Cheongju,KT & G,Regular,1mg,SSL,100,11,358302400,0.2
Indonesia,Ngurah Rai,JTI,Regular,Full Flavor,STD,KS,10,3141618200,31.1
Morocco,Agadir,JTI,Regular,Lights,STD,100,2,41229070,0
Switzerland,Zurich,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,6,2829822800,3.6
Mexico,Cancun,JTI,NTD Caps,Full Flavor,STD,KS,5,255084800,1.2
Belgium,Charleroi,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,94216000,2.7
Hong Kong,Hong Kong,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,888778210,2
China,Shenyang Taoxian,JTI,Regular,Full Flavor,STD,KS,11,509882880,0.1
Cambodia,Phnom Penh,CHINA NATIONAL,Regular,Full Flavor,STD,KS,19,298491600,19.7
Bulgaria,Varna,KING'S TOBACCO,Regular,Ultralights,SSL,100,1,3669600,0
China,Taiyuan Wusu,JTI,Regular,Full Flavor,STD,KS,11,61963295,0
Turkey,Diyarbakir Airport,BAT,Regular,Full Flavor,STD,KS,19,108394200,0
China,Urumchi Diwobao,BAT,Regular,Full Flavor,STD,KS,15,414395191,0.1
Canary Islands,Gran Canaria,JTI,Regular,Full Flavor,STD,KS,10,8299391600,6
Japan,Tokyo - Narita,JTI,Menthol Caps,Full Flavor,STD,100,1,5651800,0
China,Beijing,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,1224994728,0.3
France,Nice,JTI,Regular,Ultralights,STD,KS,2,50746600,0.1
Morocco,Fes,IMPERIAL BRANDS,Regular,1mg,STD,KS,2,55501440,0
China,Hangzhou Xiaoshan,JTI,Regular,Full Flavor,STD,KS,11,1943028553,0.5
Spain,Murcia,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,4,565807400,0.6
Ecuador,Quito,BAT,NTD Caps,Full Flavor,STD,KS,2,4096000,0.3
United Arab Emirates,Dubai,OTHER LOCAL TMO IND.,Regular,Lights,STD,KS,1,20418000,0
Japan,Osaka - Kansai,JTI,Menthol Caps,Full Flavor,STD,100,1,6047800,0
Italy,Milan - Malpensa,KING'S TOBACCO,Menthol,Full Flavor,SSL,KS,1,4610400,0
Turkey,Antalya Airport,MONUS,Regular,Full Flavor,STD,KS,1,1713800,0
Serbia,Belgrade,KARELIA TOBACCO,Menthol,Ultralights,SSL,100,1,46144000,0.4
China,Ningbo Lishe,BAT,Regular,1mg,STD,KS,1,487600,0
Sweden,Stockholm Arlanda,JTI,Regular,Full Flavor,STD,KS,6,516997000,21.4
Armenia,Yerevan,INTL. MASIS TABAK,Regular,Lights,STD,100,1,8899200,0.4
Turkey,Izmir Airport,IMPERIAL BRANDS,Regular,Lights,STD,100,1,66748800,0
Japan,Chubu,KT & G,Regular,Lights,SSL,100,1,2997000,0
South Africa,Durban,JTI,Regular,Lights,STD,KS,2,19784200,0.3
Greece,Mitilini,JTI,Regular,Full Flavor,STD,KS,4,16662000,0.1
Brazil,Rio de Janeiro,JTI,Regular,Full Flavor,STD,KS,14,1406355400,13.6
Russia,St. Petersburg Pulkovo,JTI,Regular,Full Flavor,STD,KS,4,57200000,1.8
Caribbean Other,Basseterre (Saint Kitts),IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,6230600,12.5
Turkey,Gaziantep Airport,BAT,Regular,Full Flavor,STD,KS,19,238093000,0.1
Morocco,Ouarzazate,JTI,NTD Caps,Full Flavor,STD,KS,2,4962780,0
Russia,Min Vody,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,6460000,0.2
Nicaragua,Managua,BAT,Menthol,Full Flavor,SSL,100,1,1401600,2.1
France,Nice,JTI,Regular,Lights,STD,100,1,22480000,0
China,Dalian Zhoushuizi,JTI,Regular,Full Flavor,STD,KS,11,440003458,0.1
Sri Lanka,Colombo,BAT,Regular,Lights,STD,KS,2,1066974800,20.5
Morocco,Tangier,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,13,1727840050,1.4
Kazakhstan,Astana,BAT,Regular,Full Flavor,STD,KS,4,11958200,1.8
South Korea,Busan - Kimhae (downtown),KT & G,Regular,1mg,SSL,100,10,113289600,0.1
South Korea,Cheongju,KT & G,NTD Caps,Lights,SSL,100,9,636357800,0.3
Great Britain,London Luton,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,140129400,0.1
Morocco,Tangier,JTI,Menthol,Full Flavor,STD,100,1,16800,0
Cape Verde,Espargos,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,43946400,1.5
Brazil,Natal,JTI,Regular,Full Flavor,STD,KS,8,50725400,0.5
Turkey,Samsun Airport,IMPERIAL BRANDS,Menthol,Lights,STD,KS,1,1029600,0
China,Hohhot Baita,JTI,Regular,Full Flavor,STD,KS,11,49554585,0
United Arab Emirates,Sharjah,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,767750000,0.5
Serbia,Belgrade,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,5792000,0.1
Brazil,Fortaleza,BAT,NTD Caps,Full Flavor,STD,KS,5,4108600,0
Kenya,Jomo Kenyatta,BAT,Regular,Lights,SSL,100,1,335710200,11.9
Greece,Santorini,KARELIA TOBACCO,Regular,1mg,STD,KS,1,1663200,0
Saudi Arabia,DAMMAM,ITC Ltd.,Regular,Full Flavor,STD,KS,1,145114000,0.3
Hong Kong,Hong Kong,BAT,Regular,Full Flavor,STD,KS,7,5413173776,12.3
Turkey,Izmir Airport,IMPERIAL BRANDS,Menthol,Lights,STD,KS,2,150556200,0.1
Morocco,Rabat,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,11,1438220750,1.1
Dominican Republic,Punta Cana - Higuey,JTI,Menthol,Lights,STD,KS,1,87894600,0.6
Morocco,Essaouira,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,4000266,0
Turkey,Bodrum Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,9,3058657600,1.3
Japan,Tokyo - Narita,BAT,Regular,Full Flavor,SSL,100,2,72264800,0.2
China,Dalian Zhoushuizi,BAT,Regular,Full Flavor,STD,KS,15,253559765,0.1
Italy,Venice,JTI,Regular,Lights,STD,KS,2,1179746400,5
Japan,Osaka - Kansai,BAT,Menthol Caps,Full Flavor,STD,KS,2,33369000,0.1
Nicaragua,Managua,JTI,NTD Caps,Full Flavor,STD,KS,1,2332800,3.6
Morocco,Rabat,BAT,Menthol,Full Flavor,STD,KS,1,22006400,0
Italy,Florence,JTI,Regular,Lights,STD,KS,2,73838400,0.3
China,Beijing,BAT,Regular,Lights,STD,KS,2,1696339738,0.4
Turkey,Bodrum Airport,BAT,Regular,Ultralights,STD,KS,1,15699200,0
Italy,Venice,POESCHL TABAK,Regular,Full Flavor,STD,KS,1,924000,0
Bosnia-Herzegovinia,Banja Luka,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,104960,0
China,Changsha Huanghua,JTI,NTD Caps,Full Flavor,STD,KS,1,6352128,0
Germany,Paderborn,BAT,Regular,Full Flavor,STD,KS,3,27094600,0.4
South Africa,Johannesburg,BAT,Regular,Full Flavor,STD,KS,5,357195400,6.1
Greece,Aktio,KARELIA TOBACCO,Regular,1mg,STD,KS,1,1008000,0
Myanmar,Yangon,BAT,Regular,Full Flavor,STD,KS,4,3049417,17.6
United Arab Emirates,Sharjah,BAT,NTD Caps,Full Flavor,STD,KS,2,116652400,0.1
China,Shanghai Pudong,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,428607400,0.1
Dominican Republic,Punta Cana - Higuey,JTI,Regular,Full Flavor,STD,KS,13,4494136800,32.8
Great Britain,Bristol,JTI,Regular,Ultralights,STD,KS,1,105017400,0.1
China,Kunming Wujiaba,JTI,Regular,Full Flavor,STD,100,1,4422629,0
Great Britain,Exeter,JTI,Regular,Full Flavor,STD,KS,8,39722200,0
Mexico,La Paz Manuel Marquez de Leon,IMPERIAL BRANDS,Regular,Lights,STD,100,1,81600,0
China,Mudanjiang Hailang,KARELIA TOBACCO,Menthol,Lights,SLI,100,1,3260,0
Zambia,Lusaka,IMPERIAL BRANDS,,,,,1,4176,10.3
Ethiopia,Addis Ababa,BAT,Menthol,Lights,SSL,100,1,4320000,0.1
Vietnam,Danang,JTI,,,,,1,1934800,0
Spain,Alicante,BAT,Regular,Full Flavor,STD,KS,4,1032924600,1.2
Italy,Treviso,JTI,Regular,Full Flavor,STD,KS,3,26106600,0.1
Great Britain,Bristol,JTI,Regular,Lights,STD,KS,2,103521600,0.1
Japan,Osaka - Kansai,CHINA NATIONAL,Regular,Full Flavor,SSL,KS,1,46600,0
Turkey,Cukurova Airport,JTI,Regular,Lights,STD,KS,3,152425600,0.1
Dominican Republic,La Romana,JTI,Regular,Full Flavor,STD,KS,5,108228000,0.8
United Arab Emirates,Abu Dhabi,JTI,NTD Caps,Full Flavor,STD,KS,2,43845200,0
Morocco,Tangier,IMPERIAL BRANDS,Regular,1mg,STD,KS,2,45432384,0
Brazil,Brasilia,JTI,Menthol,Full Flavor,STD,KS,2,72200,0
China,Chongqing Jiangbei,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,20831800,0
Greece,Thessaloniki,KARELIA TOBACCO,Regular,Full Flavor,STD,KS,2,38070200,0.1
Greece,Corfu,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,548255800,1.9
Spain,Ibiza,JTI,Regular,Full Flavor,STD,KS,11,1093658200,1.2
Grenada,St. George's Point Saline,BAT,Menthol,Full Flavor,STD,KS,2,1905600,1.9
China,Urumchi Diwobao,IMPERIAL BRANDS,Regular,Ultralights,SSL,100,1,18595408,0
Indonesia,Ngurah Rai,CHINA NATIONAL,Regular,Full Flavor,SSL,KS,1,1036800,0
Guadalupe,Pointe-a-Pitre,BAT,Regular,Full Flavor,STD,KS,6,894804600,20
Ghana,Accra,JTI,NTD Caps,Full Flavor,STD,KS,2,17250800,1.5
Australia,Melbourne,IMPERIAL BRANDS,,,,,1,449986,0.6
India,Anna,KT & G,,,,,1,37134,0
Mexico,Mazatlan,JTI,Regular,Lights,STD,KS,1,2130000,0
Italy,Milan - Linate,BAT,Regular,Lights,SLI,100,1,14289200,0.1
South Korea,Daegu (downtown),KT & G,Regular,1mg,SSL,100,8,74320000,0
Egypt,Cairo,BAT,Regular,Full Flavor,STD,KS,6,554360600,11.9
Ethiopia,Addis Ababa,CHINA NATIONAL,Regular,Full Flavor,STD,KS,11,911794000,18.4
China,Nanning Wuxu,BAT,Regular,Full Flavor,STD,100,1,10918160,0
Dominican Republic,Santo Domingo Las Americas,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,4,4123600,0
Great Britain,East Midlands,IMPERIAL BRANDS,Regular,Lights,STD,100,1,19094400,0
Spain,Barcelona,KING'S TOBACCO,Regular,Lights,STD,KS,2,13667200,0
China,Jinan Xiaoqiang,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,7839778,0
Gibraltar,Gibraltar,KARELIA TOBACCO,,,,,1,4406554,18.6
Sweden,Stockholm Arlanda,BAT,Regular,Full Flavor,STD,KS,5,587790800,24.4
Tanzania,Kilimanjaro,BAT,Regular,Lights,STD,KS,2,5312000,0.6
Malaysia,Kota Kinabalu,JTI,Regular,Full Flavor,STD,KS,2,167085000,0.9
South Korea,Daegu,KT & G,Regular,Lights,STD,KS,7,93031800,0
Egypt,Cairo,IMPERIAL BRANDS,,,,,1,14566844,0.3
Morocco,Nador,JTI,Regular,Full Flavor,STD,KS,5,574053000,0.5
Turkey,Trabzon Airport,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,2,24411000,0
Saudi Arabia,Jeddah,BAT,Regular,Full Flavor,STD,KS,4,1175867800,2.3
Tunisia,Tunis,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,7,1731305600,4.4
Greece,Corfu,KARELIA TOBACCO,Regular,Lights,SSL,100,1,8038800,0
Gabon,Gabon,JTI,Regular,Full Flavor,STD,KS,2,119609400,11.4
China,Xian Xianyang,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,25491390,0
Morocco,Fes,BAT,Regular,Ultralights,STD,KS,1,6868400,0
Italy,Rome Fiumicino,POESCHL TABAK,Regular,Full Flavor,STD,KS,1,1974000,0
Russia,Moscow - Vnukovo,SHANGHAI CIG.,Regular,Full Flavor,STD,KS,1,97600,0
China,Hangzhou Xiaoshan,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,107725032,0
Poland,Szczecin,JTI,Regular,Lights,STD,KS,2,310146600,1.5
Nigeria,Abuja,JTI,NTD Caps,Full Flavor,STD,KS,1,1680000,0.3
El Salvador,San Salvador Comalapa,BAT,Menthol,Full Flavor,SSL,100,1,8628600,2.6
Turkey,Cukurova Airport,BAT,Regular,Lights,STD,KS,3,5206800,0
Spain,Jerez De La Frontera,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,850000,0
Peru,Lima,BAT,Regular,Ultralights,STD,KS,1,13208800,0.2
China,Yanji Zhaoyangchuan,KT & G,Menthol,Full Flavor,SSL,100,1,3006890,0
Saudi Arabia,Medina,IMPERIAL BRANDS,Regular,Lights,SSL,100,1,13474600,0
Greece,Heraklion Airport,KARELIA TOBACCO,Regular,Lights,STD,KS,3,18729800,0.1
Poland,Krakow Balice,JTI,Regular,Full Flavor,STD,100,1,10760400,0.1
Qatar,Doha,IMPERIAL BRANDS,,,,,1,36005672,20.7
Tunisia,Tozeur,BAT,NTD Caps,Full Flavor,STD,KS,1,1870000,0
China,Urumchi Diwobao,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,3919824,0
Martinique,Fort-de-France,BAT,Regular,Lights,SSL,100,1,435683600,11.2
South Korea,Muan,KT & G,NTD Caps,Full Flavor,SSL,100,1,5777000,0
China,Ningbo Lishe,IMPERIAL BRANDS,Regular,Ultralights,SSL,100,1,1357070,0
Turkey,Konya Airport,IMPERIAL BRANDS,Regular,Ultralights,SLI,100,1,58800,0
China,Sanya Fenghuang,JTI,Regular,1mg,STD,KS,1,1874520,0
China,Wuxi Shuofang,JTI,Regular,Full Flavor,STD,KS,11,85972150,0
Canary Islands,Tenerife,IMPERIAL BRANDS,Regular,Lights,STD,100,1,1047254400,0.8
Turkey,Antalya Airport,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,5,937005200,0.4
Guatemala,Guatemala City,JTI,Regular,Full Flavor,STD,KS,3,318814000,50.1
Jordan,Amman,IMPERIAL BRANDS,Regular,Lights,STD,KS,4,1462271200,5.8
Jordan,Amman,JTI,Regular,Lights,STD,KS,3,8473242000,33.8
Belgium,Brussels,BAT,Regular,Full Flavor,STD,KS,3,631325000,17.8
China,Fuzhou Changle,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,8937330,0
Russia,Moscow - Sheremetyevo,JTI,Regular,Ultralights,STD,KS,1,20720200,0.6
Saudi Arabia,Medina,JTI,Regular,1mg,STD,KS,1,45864000,0.1
Portugal,Lisbon,IMPERIAL BRANDS,Regular,Lights,STD,100,1,61689600,0.4
Switzerland,Geneva,JTI,Menthol,Full Flavor,STD,KS,1,27874000,0
Greece,Heraklion Airport,JTI,Regular,Full Flavor,STD,KS,5,613961000,2.1
Spain,Jerez De La Frontera,BAT,Regular,Full Flavor,STD,KS,2,14086800,0
Canary Islands,La Palma,IMPERIAL BRANDS,Regular,Lights,STD,100,1,4896000,0
Turkey,Samsun Airport,KARELIA TOBACCO,Regular,Lights,SSL,100,2,27607400,0
Great Britain,Manchester,KARELIA TOBACCO,Regular,Lights,SSL,100,2,44752600,0
Bahrain,Manama,BAT,Regular,Full Flavor,STD,100,4,230599000,1
Great Britain,London Heathrow,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,4,3098654200,2.2
China,Weihai Dashuibo,JTI,Regular,Lights,STD,KS,1,455200,0
Italy,Milan - Linate,POESCHL TABAK,Regular,Lights,STD,KS,1,241600,0
Ghana,Accra,BAT,Regular,Full Flavor,SSL,100,2,38601600,3.3
Jordan,Aqaba,JTI,Menthol,Full Flavor,SSL,100,1,214000,0
Vietnam,Ho Chi Minh,KT & G,Regular,Lights,STD,KS,1,36389358,0.5
China,Yanji Zhaoyangchuan,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,11164630,0
South Korea,Incheon,KT & G,Regular,Lights,SSL,100,2,5669665220,2.6
United Arab Emirates,Sharjah,KT & G,Regular,1mg,SSL,KS,1,1665600,0
Poland,Katowice,BAT,,,,,1,1009332,0
Russia,Moscow - Sheremetyevo,JTI,Regular,Ultralights,STD,100,1,259200,0
United Arab Emirates,Dubai,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,15180000,0
South Korea,Seoul (downtown),KT & G,NTD Caps,Full Flavor,SSL,100,1,290899200,0.1
Jordan,Amman,BAT,Regular,Lights,STD,KS,4,394823800,1.6
China,Beijing,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,271130787,0.1
Serbia,Belgrade,JTI,Regular,Lights,STD,KS,2,5651554800,52.1
China,Changchun Longjia,JTI,Menthol,Lights,STD,KS,1,1310160,0
China,Qingdao Liuting,BAT,Regular,1mg,STD,KS,1,5047932,0
Morocco,Fes,BAT,Menthol,Full Flavor,STD,KS,1,11849600,0
Turkey,Gaziantep Airport,JTI,NTD Caps,Full Flavor,STD,KS,3,17135600,0
France,Chambery,BAT,Regular,Full Flavor,SSL,100,1,1863000,0
Morocco,Nador,BAT,Regular,Lights,STD,KS,1,106000,0
China,Nanchang Changbei,JTI,Menthol,Full Flavor,STD,KS,1,35638,0
Australia,Melbourne,BAT,,,,,1,257425,0.4
China,Harbin Taiping,KT & G,Menthol,Full Flavor,SSL,100,1,87560,0
China,Taiyuan Wusu,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,3435984,0
Turkey,Antalya Airport,JTI,Regular,Lights,STD,KS,3,9267848800,3.9
Switzerland,Geneva,JTI,Regular,Ultralights,STD,KS,2,146306200,0.2
Turkey,Bodrum Airport,BAT,Menthol,Lights,SSL,100,1,163056000,0.1
Italy,Milan - Malpensa,KING'S TOBACCO,Regular,Ultralights,STD,KS,1,1636600,0
Japan,Tokyo - Shinjuku,JTI,,,,,1,23595672,0.1
Taiwan,Everrich Downtown Kinmen,JTI,Menthol,Full Flavor,SSL,100,1,93673971,0.1
Bahrain,Manama,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,1423141400,6.4
Albania,Tirana,KARELIA TOBACCO,Regular,Lights,STD,KS,2,47758800,0.2
Turkey,Trabzon Airport,BAT,Regular,Lights,STD,KS,1,414000,0
Ghana,Accra,BAT,Regular,Ultralights,STD,KS,1,35234000,3.1
