DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Switzerland,Basel,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,2130000,0
Switzerland,Geneva,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,369425200,0.5
Poland,Warsaw,BAT,,,,,1,1187740,0
South Korea,Busan - Kimhae,KT & G,Menthol Caps,Full Flavor,STD,KS,1,58236600,0
China,Nanchang Changbei,IMPERIAL BRANDS,Regular,Ultralights,SSL,100,1,130130,0
Greece,Thessaloniki,KARELIA TOBACCO,Regular,Lights,SSL,100,1,8395200,0
Greece,Chania,KARELIA TOBACCO,Regular,Full Flavor,STD,KS,2,5336400,0
Reunion,Roland Garros,BAT,Regular,Lights,SSL,100,1,2433720000,21.1
Turkey,Samsun Airport,BAT,Menthol Caps,Full Flavor,STD,KS,1,6107000,0
Ecuador,Guayaquil,JTI,Regular,Full Flavor,STD,KS,4,288272000,18.9
Egypt,Aswan,BAT,,,,,1,39989,0
Peru,Lima,JTI,NTD Caps,Full Flavor,STD,KS,2,23064400,0.4
Greece,Rhodes,JTI,Regular,Ultralights,STD,KS,2,64618800,0.2
Morocco,Essaouira,BAT,Regular,Full Flavor,SSL,100,2,20612462,0
China,Xuzhou Guanyin,KT & G,NTD Caps,Lights,SSL,100,1,148049,0
Dominican Republic,La Romana,JTI,NTD Caps,Full Flavor,STD,KS,2,3819000,0
China,Changsha Huanghua,BAT,Menthol,Full Flavor,STD,KS,1,3766056,0
Morocco,Marrakech,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,295290000,0.2
Poland,Warsaw-Modlin,BAT,,,,,1,373347,0
Tunisia,Tozeur,BAT,Regular,Full Flavor,SSL,100,1,636400,0
Turkey,Gaziantep Airport,KARELIA TOBACCO,Menthol,Lights,SSL,100,1,8607200,0
South Korea,Muan,JTI,Regular,Full Flavor,STD,KS,2,1254400,0
France,Lyon Saint Exupery,BAT,Regular,Lights,SSL,100,1,451192600,1
Ethiopia,Addis Ababa,JTI,Regular,Lights,STD,KS,1,27264600,0.5
Morocco,Marrakech,BAT,Regular,Lights,SSL,100,1,4977434600,3.9
Great Britain,Norwich,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,65405800,0
South Korea,Incheon,CHINA NATIONAL,Regular,Full Flavor,STD,KS,6,8704843400,4
Australia,Perth,JTI,Regular,Lights,STD,KS,1,6969600,9.9
Canary Islands,Tenerife,JTI,NTD Caps,Full Flavor,STD,KS,1,64294000,0
China,Jinan Xiaoqiang,KT & G,Menthol,Full Flavor,SSL,100,1,6041839,0
Cambodia,Phnom Penh,BAT,Regular,Full Flavor,SSL,100,1,32918400,2.2
China,Xiamen Gaoqi,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,46958448,0
Cape Verde,Espargos,KING'S TOBACCO,NTD Caps,Lights,SSL,100,1,220800,0
Great Britain,London City,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,9225800,0
China,Kunming Wujiaba,JTI,Regular,1mg,STD,KS,1,30094492,0
Bosnia-Herzegovinia,Sarajevo,JTI,,,,,1,1872727,0.8
Turkey,Denizli Cardak Airport,BAT,Regular,Lights,SSL,100,1,1670200,0
South Korea,Seoul,BAT,Regular,Full Flavor,SSL,100,1,165600,0
Tunisia,Enfidha,IMPERIAL BRANDS,Menthol,Full Flavor,STD,100,1,48600,0
South Korea,Daegu,KT & G,Menthol,Full Flavor,STD,KS,1,5440000,0
Morocco,Al Hoceima,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,210558,0
Canary Islands,Lanzarote,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,63114600,0
Ireland,Cork,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,53317200,0.4
China,Ningbo Lishe,BAT,Menthol,Full Flavor,STD,KS,1,616560,0
Brazil,Brasilia,JTI,Regular,Full Flavor,SSL,100,1,344400,0
Turkey,Kutahya Airport,P.T. DJARUM,Regular,Full Flavor,SLI,KS,1,100000,0
Great Britain,Manchester,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,169738600,0.1
Canary Islands,Fuerteventura,KING'S TOBACCO,Regular,Full Flavor,STD,KS,1,10082800,0
China,Changsha Huanghua,JTI,Regular,1mg,STD,KS,1,23410508,0
Spain,Madrid Barajas,BAT,Regular,Ultralights,STD,KS,1,66364800,0.1
Cambodia,Sihanoukville,BAT,NTD Caps,Full Flavor,STD,KS,1,254000,0
China,Chengdu Tianfu,JTI,Regular,Full Flavor,STD,100,1,11036801,0
Jordan,Aqaba,IMPERIAL BRANDS,Regular,1mg,SLI,KS,1,515200,0
Japan,Shizuoka,BAT,,,,,1,112218,0
Saudi Arabia,Jeddah,ITC Ltd.,,,,,1,2699296,0
Japan,Takamatsu,JTI,,,,,1,624215,0
China,Hangzhou Xiaoshan,KT & G,Regular,1mg,SSL,100,1,259744326,0.1
Spain,Malaga,KING'S TOBACCO,Regular,Full Flavor,SSL,100,1,20988400,0
Indonesia,Ngurah Rai,BAT,,,,,1,3184,0
South Korea,Yangyang,KT & G,Regular,Lights,SSL,100,1,196000,0
China,Dalian Zhoushuizi,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,42602250,0
China,Wuhan Tianhe,JTI,NTD Caps,Full Flavor,STD,KS,1,5390848,0
