DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,2022 Volume,2023 Volume,2024 Volume,2022Month,2023Month,2024Month,2022 Revenue,2023 Revenue,2024 Revenue
Mexico,Mexico City,PMI,MARLBORO,107858,MARLBORO - DOUBLE FUSION AMBER 100's BOX C CHR WHITE - LA&CANADA DF-ENG TXT,200,107600,0,0,4,0,0,18292,0,0
Switzerland,Geneva,JTI,CAMEL,43011,CAMEL - KS BOX,400,512800,0,0,10,0,0,125714,0,0
Great Britain,Humberside,JTI,SILK CUT,46016,SILK CUT - SILVER KS BOX,200,1200,1600,1200,0,0,0,384,512,412
Turkey,Antalya Airport,PMI,MARLBORO,95172,MARLBORO - (RED FWD) KS BOX 400 - TURKEY DF - BASE PRODUCT DF,400,8018400,0,0,9,0,0,1365535,0,0
Germany,Cologne,PMI,MARLBORO,125532,MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,0,144200,351396,0,6,11,0,46144,112446.72
China,Shanghai Pudong,PMI,PARLIAMENT,122805,PARLIAMENT - NIGHT BLUE KS RCB 200 JUMBO RC WHITE - CHINA DF - IDM CN05 SUNRISE DF (RS),200,0,210000,1581152,0,1,11,0,154350,1162146.72
South Korea,Daegu,BAT,DUNHILL,97339,DUNHILL - NEW 1MG KS OCTAGONAL PACK,200,29600,229600,247600,6,11,11,4292,33292,35902
Dominican Republic,Puerto Plata,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,600,23400,25800,27000,9,8,7,4080.53,4611.46,5045.97
Morocco,Marrakech,BAT,ROTHMANS,46008,ROTHMANS - (BLUE) KS BOX,400,124189,225600,207600,10,12,11,16765.515,30456,28026
Morocco,Fes,JTI,CAMEL,91074,CAMEL - ACTIVA DOUBLE FRESHNESS MENTHOL KS BOX C,600,24000,0,0,7,0,0,2996.47,0,0
Colombia,Bogota,PMI,MARLBORO,91755,MARLBORO - (RED FWD) KS BOX 400 WHITE - LA&CANADA DF-ENG TXT,400,1360000,1261600,0,12,12,0,172000,170316,0
United Arab Emirates,Dubai,BAT,VOGUE,47618,VOGUE - MENTHOL KS BOX,200,1403800,1121000,1436000,11,10,9,245665,210037.28,275642.66
Turkey,Diyarbakir Airport,KARELIA TOBACCO,KARELIA,54099,KARELIA - SLIMS MENTHOL 100's BOX SUPERSLIMS,200,0,200,1800,0,0,0,0,11,99
Morocco,Al Hoceima,BAT,PALL MALL,53263,PALL MALL - (RED) KS BOX,200,332,454,604,0,0,0,34.86,47.67,63.42
Great Britain,East Midlands,IMPERIAL BRANDS,LAMBERT & BUTLER,96896,LAMBERT & BUTLER - BLUE KS BOX,400,147200,527200,377200,6,12,11,28336,103809.22,82327
Turkey,Istanbul Asia Airport,BAT,PALL MALL,56918,PALL MALL - (RED) KS RCB,200,220400,0,0,9,0,0,36366,0,0
Bahrain,Manama,IMPERIAL BRANDS,DAVIDOFF,124453,DAVIDOFF - EVOLVE BLUE KS BOX,200,0,51000,133200,0,6,11,0,5742.91,5344.06
