Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_C,Cat_D,Avg_Score
Dalian Zhoushuizi,6.75,2.0,0.0,81.0,9.944036592764622,0.0,7.51,6.051009148191156
Rio de Janeiro,6.82,6.0,0.0,128.0,10.0,9.87,9.0,8.9225
Mudanjiang Hailang,6.71,1.0,0.0,82.0,8.446070841184465,0.0,,5.052023613728156
Gerona,6.44,2.0,3.0,59.0,0.0,9.91,5.82,5.5425
Shannon,5.0,0.0,2.0,8.0,0.0,10.0,,5.0
Chongqing Jiangbei,5.99,1.0,10.0,94.0,9.908305088901319,9.99,9.71,8.89957627222533
Los Cabos,6.83,6.0,0.0,121.0,9.93263681903063,9.78,,8.847545606343544
Aswan,6.79,4.0,0.0,108.0,0.0,9.89,8.53,6.3025
Florianopolis,6.79,3.0,0.0,81.0,10.0,9.02,4.51,7.58
Cukurova Airport,6.86,9.0,0.0,158.0,9.083979949225299,0.0,,5.314659983075099
Rostov Don,7.81,13.0,0.0,38.0,,0.0,,3.905
Piarco,6.67,0.0,0.0,85.0,,9.98,0.0,5.55
Fortaleza,6.87,4.0,0.0,67.0,10.0,9.56,0.0,6.6075
Glasgow,6.48,0.0,2.0,73.0,0.0,9.9,0.91,4.322500000000001
Bristol,6.47,0.0,2.0,69.0,0.0,9.66,,5.376666666666666
Nice,6.77,4.0,1.0,65.0,10.0,9.99,,8.92
Yinchuan Hedong,6.52,0.0,2.0,88.0,7.01408010858033,0.0,0.07,3.4010200271450826
Salvador,6.84,3.0,0.0,59.0,10.0,8.56,0.0,6.35
Ulaanbaatar,6.67,0.0,0.0,81.0,0.0,9.71,,5.460000000000001
Bariloche,5.0,1.0,1.0,2.0,0.0,0.0,,1.6666666666666667
Santiago Arturo Merino Benitez,6.67,0.0,0.0,84.0,10.0,9.85,,8.840000000000002
Krakow Balice,6.79,2.0,0.0,55.0,0.0,9.94,8.04,6.1925
Singapore - Changi,6.83,3.0,0.0,62.0,0.0,9.99,6.3,5.78
Addis Ababa,6.81,7.0,0.0,163.0,9.997484903189287,9.59,1.92,7.079371225797322
Oslo,6.78,2.0,0.0,60.0,0.0,9.78,,5.52
Pointe-a-Pitre,6.35,3.0,4.0,53.0,10.0,9.99,4.98,7.830000000000001
Porto,6.89,3.0,0.0,45.0,0.0,9.99,0.01,4.2225
Bujumbura,5.0,0.0,4.0,16.0,0.0,9.58,0.66,3.81
Phu Quok,6.87,2.0,0.0,33.0,0.0,9.92,,5.596666666666667
Marseille,6.76,4.0,1.0,68.0,10.0,9.99,0.24,6.7475
Shandong,6.85,4.0,0.0,72.0,,,,6.85
Grenoble,6.35,2.0,2.0,21.0,10.0,0.0,,5.45
Brasilia,6.81,4.0,0.0,93.0,9.999924497984523,9.36,1.87,7.0099811244961305
Porto Alegre,6.85,4.0,0.0,73.0,10.0,9.56,1.21,6.905000000000001
Nanning Wuxu,6.7,3.0,1.0,88.0,9.375967349051194,0.0,5.01,5.271491837262799
Bydgoszcz,5.17,1.0,5.0,20.0,0.0,9.79,,4.986666666666666
Abidjan,6.56,4.0,3.0,64.0,10.0,9.74,,8.766666666666666
Corfu,5.59,1.0,11.0,65.0,10.0,9.36,6.1,7.762499999999999
Moscow - Domodedovo,6.76,2.0,0.0,68.0,0.0,9.98,9.93,6.6675
Chania,5.86,2.0,8.0,58.0,0.0,9.57,8.85,6.07
Marka,6.89,2.0,0.0,30.0,0.0,0.0,,2.2966666666666664
Praia,6.85,3.0,0.0,55.0,10.0,9.59,5.47,7.9775
Recife,6.86,5.0,0.0,88.0,9.993827488258754,9.36,4.83,7.760956872064689
Wuhan Tianhe,6.07,1.0,9.0,95.0,7.36728560827231,9.99,9.73,8.289321402068078
Juba,6.9,1.0,0.0,14.0,0.0,,,3.45
Cardiff,6.43,0.0,2.0,57.0,0.0,9.89,3.13,4.8625
Ostrava,6.83,1.0,0.0,20.0,0.0,0.0,0.05,1.72
London Gatwick,6.58,2.0,2.0,74.0,0.0,9.93,,5.503333333333333
Denizli Cardak Airport,6.85,5.0,0.0,93.0,9.342410201852896,9.45,0.06,6.425602550463223
Panama Tocumen,6.79,3.0,0.0,81.0,9.963692734468804,9.67,9.66,9.0209231836172
Basel,6.35,5.0,7.0,94.0,10.0,9.99,1.31,6.9125000000000005
Tokyo - Haneda,5.05,0.0,8.0,33.0,0.0,10.0,,5.016666666666667
Milan - Malpensa,6.82,3.0,0.0,67.0,0.0,9.73,10.0,6.6375
Moscow - Sheremetyevo,6.8,2.0,0.0,49.0,0.0,9.51,,5.4366666666666665
London Luton,6.46,2.0,3.0,64.0,0.0,9.95,,5.47
London Stansted,6.57,2.0,2.0,72.0,0.0,9.92,,5.496666666666667
Natal,6.84,4.0,0.0,77.0,10.0,9.92,0.11,6.717499999999999
Rhodes,5.6,1.0,13.0,78.0,10.0,9.53,,8.376666666666667
Lodz,6.83,2.0,0.0,41.0,0.0,9.94,,5.59
Olsztyn,6.84,2.0,0.0,39.0,0.0,0.0,,2.28
Guatemala City,6.89,4.0,0.0,61.0,5.116465043005254,9.49,0.03,5.381616260751313
Perth,6.71,1.0,0.0,70.0,9.999999999999998,9.99,,8.899999999999999
San Salvador Comalapa,6.84,4.0,0.0,76.0,9.803306198775733,9.52,0.02,6.545826549693933
Durban,6.74,1.0,0.0,45.0,10.0,9.99,3.13,7.465000000000001
Yerevan,6.67,0.0,0.0,82.0,0.0,9.95,0.9,4.379999999999999
Tunis,6.4,5.0,9.0,160.0,9.99054256700627,9.36,0.28,6.507635641751568
Alicante,6.32,1.0,4.0,68.0,0.0,9.93,,5.416666666666667
Antigua,6.79,1.0,0.0,28.0,0.0,0.0,,2.263333333333333
Tegucigalpa,9.0,7.0,0.0,10.0,,7.5,,8.25
Ohrid,6.83,3.0,0.0,63.0,0.0,0.0,0.17,1.75
Birmingham,6.38,0.0,3.0,71.0,0.0,9.93,5.82,5.5325
Rosario,6.9,1.0,0.0,14.0,0.0,9.92,,5.6066666666666665
Enfidha,6.85,7.0,0.0,127.0,9.993238406552752,5.38,10.0,8.055809601638188
Basseterre (Saint Kitts),6.79,3.0,0.0,81.0,9.938044863528374,9.68,,8.802681621176125
Krasnodar,7.47,6.0,0.0,25.0,,0.0,,3.735
Johor Bahru,6.13,0.0,2.0,25.0,7.83551210042228,0.0,10.0,5.99137802510557
Cordoba,6.89,1.0,0.0,15.0,0.0,10.0,,5.63
Palermo,6.86,2.0,0.0,34.0,0.0,0.0,,2.2866666666666666
Cheongju,6.08,0.0,9.0,102.0,9.898377443336164,0.0,2.56,4.634594360834041
Cali,6.8,3.0,0.0,73.0,8.857973444182221,9.56,0.5,6.429493361045555
Mahon Airport,6.26,1.0,4.0,58.0,0.0,9.98,5.7,5.485
Copenhagen,6.83,2.0,0.0,41.0,0.0,10.0,0.0,4.2075
Salzburg,6.78,1.0,0.0,29.0,0.0,9.99,3.64,5.1025
London City,6.8,2.0,0.0,50.0,0.0,9.95,0.61,4.34
Liverpool,6.47,0.0,2.0,68.0,0.0,9.89,,5.453333333333333
Duesseldorf,6.8,3.0,0.0,75.0,0.0,9.57,,5.456666666666667
Cape Town,6.9,3.0,0.0,42.0,10.0,9.98,0.28,6.79
PRISTINA,6.93,6.0,0.0,75.0,0.0,9.93,10.0,6.715
Fuerteventura,6.76,2.0,0.0,70.0,0.0,9.95,4.83,5.385
Kazan,8.75,5.0,0.0,8.0,,10.0,,9.375
Sardar Vallabh Bhai Patel,4.87,0.0,7.0,26.0,0.0,9.63,,4.833333333333333
Mangalore,4.87,0.0,7.0,26.0,0.0,9.64,10.0,6.1275
Zia,4.93,1.0,7.0,25.0,0.0,9.63,,4.8533333333333335
Espargos,6.5,5.0,5.0,99.0,9.999926747817097,8.58,2.26,6.834981686954274
Ekaterinburg,6.79,1.0,0.0,28.0,0.0,9.21,9.28,6.32
Novosibirsk,6.83,1.0,0.0,21.0,0.0,9.96,,5.596666666666667
Strasbourg,6.92,1.0,0.0,13.0,0.0,9.73,10.0,6.6625
Kota Kinabalu,6.67,0.0,0.0,20.0,3.3722230711813603,1.58,,3.874074357060454
Nanchang Changbei,6.62,1.0,1.0,80.0,10.0,0.0,7.44,6.015000000000001
Muscat,6.78,2.0,0.0,61.0,0.0,9.16,1.92,4.465
Beirut - Rafik Hariri,6.77,2.0,0.0,63.0,0.0,9.81,,5.526666666666666
Elblag,5.0,0.0,4.0,16.0,0.0,0.0,,1.6666666666666667
Sanya Fenghuang,6.71,1.0,0.0,80.0,0.0,0.0,,2.236666666666667
Southampton,6.71,1.0,0.0,72.0,0.0,9.93,,5.546666666666667
Cochin,6.67,0.0,0.0,31.0,0.0,9.68,,5.45
Stavanger,6.78,2.0,0.0,58.0,0.0,9.91,,5.5633333333333335
Santiago De Compostela,6.79,2.0,0.0,53.0,0.0,9.65,3.21,4.9125000000000005
Billund,6.67,0.0,0.0,18.0,0.0,10.0,,5.5566666666666675
Belize City,5.38,2.0,6.0,26.0,0.0,8.9,,4.760000000000001
Curacao,6.75,1.0,0.0,40.0,0.0,9.5,,5.416666666666667
