Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cluster
Zadar,8.89,0.0,8.24,0.0,4.28,0
Chengdu Shuangliu,0.0,0.0,5.3,0.0,1.32,1
Bridgetown,6.76,0.0,7.49,1.61,3.96,0
Brisbane,6.67,0.0,1.02,0.0,1.92,0
Aqaba,6.86,10.0,0.0,0.0,4.22,2
Antigua,6.79,0.0,7.82,0.0,3.65,0
Bologna,5.78,0.0,2.14,6.35,3.57,3
Juba (inactive),0.0,0.0,1.11,9.62,2.68,3
Zaporizhya,8.04,0.0,5.3,0.0,3.34,0
Santiago Arturo Merino Benitez,6.67,10.0,3.48,10.0,7.54,2
Julfa,0.0,0.0,5.3,0.0,1.32,1
Shanghai Pudong,5.93,3.57,1.86,9.66,5.25,3
Almeria,6.36,0.0,8.1,9.17,5.91,3
Marrakech,6.43,9.98,9.7,9.49,8.9,2
Faro Airport,6.74,0.0,6.0,0.0,3.18,0
Managua,6.87,9.46,5.37,5.83,6.88,2
Tokyo - Haneda,5.05,0.0,2.66,8.23,3.99,3
Djibouti,5.0,0.0,3.01,0.0,2.0,0
Torugart,0.0,0.0,5.3,0.0,1.32,1
Belarus/Lithuania,0.0,0.0,5.3,0.0,1.32,1
Houston,0.0,0.0,5.3,0.0,1.32,1
Wuhan Tianhe,6.07,7.37,1.91,9.98,6.33,2
San Pedro Sula,0.0,0.0,5.3,0.0,1.32,1
Chania,5.86,0.0,3.71,7.93,4.38,3
Gabon,6.79,0.0,8.07,5.83,5.17,3
Kyiv Airlines,0.0,0.0,5.3,0.0,1.32,1
Piraeus,0.0,0.0,5.3,0.0,1.32,1
Berlin Tegel,0.0,0.0,5.3,0.0,1.32,1
Bristol,6.47,0.0,6.89,10.0,5.84,3
Nis,6.53,0.0,0.0,0.0,1.63,0
Kuusamo,0.0,0.0,5.3,0.0,1.32,1
Sochi,6.75,0.0,2.87,2.77,3.1,0
Durban,6.74,10.0,4.08,9.78,7.65,2
Adelaide,6.19,0.0,3.24,5.83,3.82,3
Russia/Ukraine,0.0,0.0,5.3,0.0,1.32,1
Maastricht - Aachen,0.0,0.0,5.3,0.0,1.32,1
Bariloche,5.0,0.0,5.46,0.06,2.63,0
Antalya Airlines,0.0,0.0,5.3,0.0,1.32,1
Prague,6.07,0.0,1.1,0.0,1.79,0
Mombasa,9.0,0.0,8.64,0.0,4.41,0
Savannaket,0.0,0.0,5.3,0.0,1.32,1
Norrkoping,0.0,0.0,5.3,0.0,1.32,1
Fredrikshavn,0.0,0.0,5.3,0.0,1.32,1
Baku,4.94,0.0,2.89,9.91,4.44,3
Dalaman Airlines,0.0,0.0,5.3,0.0,1.32,1
Paderborn,6.82,0.0,9.25,9.84,6.48,3
Recife,6.86,9.99,9.52,9.49,8.97,2
Kapikule Turkey Bulgaria Border,0.0,0.0,5.3,0.0,1.32,1
Sardar Vallabh Bhai Patel,4.87,0.0,3.93,3.78,3.14,0
Penang,6.67,10.0,1.1,8.58,6.59,2
La Romana,6.83,9.97,7.3,9.29,8.35,2
Aktio,6.05,0.0,0.0,10.0,4.01,3
Paramaribo,6.79,0.0,1.64,4.13,3.14,0
Bar,0.0,0.0,5.3,0.0,1.32,1
Indira Gandhi,5.25,0.0,5.89,0.0,2.78,0
Madrid,0.0,0.0,5.3,0.0,1.32,1
Nanning Wuxu,6.7,9.38,8.88,9.96,8.73,2
Jinan Xiaoqiang,6.67,5.9,2.52,10.0,6.27,2
Eskisehir Airport,6.87,8.94,5.3,9.61,7.68,2
Agadir,6.43,9.98,9.73,10.0,9.04,2
Tirana,6.19,0.0,5.57,9.65,5.35,3
Khost,0.0,0.0,5.3,0.0,1.32,1
Strasbourg,6.92,0.0,8.99,9.67,6.4,3
Aswan,6.79,0.0,6.07,9.76,5.65,3
Port-au-Prince (Haiti),6.76,0.0,1.79,5.18,3.43,3
Kitakyushu,0.0,0.0,5.3,0.0,1.32,1
Seeb,0.0,0.0,5.3,0.0,1.32,1
Augusta,0.0,0.0,5.3,0.0,1.32,1
Kavala,5.52,0.0,0.0,9.8,3.83,3
Kaliningrad (Poland Border),0.0,0.0,5.3,0.0,1.32,1
Duesseldorf,6.8,0.0,8.52,7.15,5.62,3
Kos Port,0.0,0.0,5.3,0.0,1.32,1
Aomori,4.44,0.0,5.4,8.84,4.67,3
Kalibo,7.78,0.0,8.36,8.2,6.08,3
Ancona,0.0,0.0,5.3,0.0,1.32,1
Lilongwe,0.0,0.0,5.3,0.0,1.32,1
Thiruvananthapuram,0.0,0.0,5.3,0.0,1.32,1
Huatulco,0.0,0.0,0.0,0.0,0.0,1
Ostersund,0.0,0.0,5.3,0.0,1.32,1
Manchester,6.49,0.0,6.4,7.16,5.01,3
Leopold Sedar Senghar,6.72,0.0,7.68,9.41,5.95,3
Dalaman Airport,6.79,0.0,8.9,0.0,3.92,0
Bandaranaike,5.1,0.0,2.51,9.66,4.32,3
East Midlands,6.15,0.0,6.55,9.41,5.53,3
Marmaris Port,0.0,0.0,5.3,0.0,1.32,1
Cape Town,6.9,10.0,6.11,8.87,7.97,2
Gibraltar,5.33,0.0,2.62,10.0,4.49,3
St. Petersburg Sea Port,0.0,0.0,5.3,0.0,1.32,1
Madeira,6.67,0.0,6.69,9.0,5.59,3
Dresden,7.14,0.0,2.17,0.0,2.33,0
Istanbul Airport,6.79,0.0,8.47,0.0,3.82,0
Dostuk,0.0,0.0,5.3,0.0,1.32,1
Seoul,5.74,8.54,4.79,5.72,6.2,2
Chita,0.0,0.0,5.3,0.0,1.32,1
Nantes,6.6,10.0,8.22,9.37,8.55,2
Guilin Liangjiang,0.0,0.0,5.3,0.0,1.32,1
Turkhem,0.0,0.0,5.3,0.0,1.32,1
Pierrefond,0.0,0.0,5.3,0.0,1.32,1
Radom,5.56,0.0,0.0,7.48,3.26,3
Saint Lucia,0.0,0.0,5.3,0.0,1.32,1
Chitose,4.94,0.0,3.23,7.94,4.03,3
Munster-Osnabruck,4.9,0.0,9.14,6.56,5.15,3
Georgia/Turkey,0.0,0.0,5.3,0.0,1.32,1
Nuernberg,6.86,0.0,7.81,0.0,3.67,0
Kos,6.72,0.0,3.48,0.0,2.55,0
Punta del Este,3.33,0.0,5.3,0.0,2.16,1
Vigo,6.86,0.0,5.3,9.71,5.47,3
Asyut,5.33,0.0,5.3,9.87,5.12,3
Bandar Seri Begawan,0.0,0.0,5.3,0.0,1.32,1
Verona,6.83,0.0,1.01,10.0,4.46,3
Lublin,6.82,0.0,0.0,0.0,1.7,0
Molde,0.0,0.0,5.3,0.0,1.32,1
Tianjin Binhai,0.0,0.0,5.3,0.0,1.32,1
Jaipur,4.87,0.0,3.93,0.0,2.2,0
