Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Grenoble,6.35,10.0,10.0,8.78,3
Chattrapati Shivaji,5.05,0.0,0.0,1.68,0
Chania,5.86,0.0,7.93,4.6,1
Cukurova Airport,6.86,9.08,0.0,5.31,2
Santiago Cibao,6.79,2.39,1.31,3.5,0
Cartagena de Indias,0.0,0.0,0.0,0.0,0
Cayenne,6.45,10.0,0.0,5.48,2
Santorini,5.38,0.0,8.71,4.7,1
Beirut - Rafik Hariri,6.77,0.0,7.4,4.72,1
Managua,6.87,9.46,5.83,7.39,3
Birmingham,6.38,0.0,9.72,5.37,1
Phnom Penh,6.75,4.28,8.24,6.42,1
Nanning Wuxu,6.7,9.38,9.96,8.68,3
Santiago De Compostela,6.79,0.0,9.19,5.33,1
Min Vody,6.75,0.0,7.86,4.87,1
Khabarovsk,7.67,0.0,0.0,2.56,0
Bogota,6.84,9.9,6.66,7.8,3
Johannesburg,6.82,10.0,8.94,8.59,3
Ibaraki,4.44,0.0,6.8,3.75,1
Lucknow,4.87,0.0,5.82,3.56,1
Samara,6.67,0.0,10.0,5.56,1
Cairns,7.08,0.0,6.9,4.66,1
Seoul (downtown),0.0,0.35,0.0,0.12,0
St. Petersburg Pulkovo,6.75,0.0,6.04,4.26,1
Pamandzi,4.85,0.0,10.0,4.95,1
Rabat,6.53,10.0,4.54,7.02,2
