Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Jinan Xiaoqiang,4.95,0.86,2.33,1.36,2.38
Salzburg,6.64,9.35,7.0,9.95,8.24
Eindhoven,5.8,9.0,6.29,9.91,7.75
Florence,6.61,8.16,6.27,10.0,7.76
Dubrovnik,10.0,9.76,5.92,10.0,8.92
Zhengzhou Xinzheng,7.89,0.4,3.57,1.8,3.42
Santander,8.21,2.23,6.68,6.52,5.91
St. Petersburg Pulkovo,5.09,2.95,3.31,7.64,4.75
Krasnoyarsk,7.37,5.01,3.08,3.97,4.86
Conakry,6.13,10.0,8.32,7.49,7.98
Bournemouth,4.9,4.85,7.07,6.86,5.92
Lagos,6.78,6.67,5.46,8.52,6.86
Viracopos,7.14,7.57,9.4,9.9,8.5
Kota Kinabalu,4.18,3.75,3.88,2.33,3.53
Nouakchott,6.51,8.29,5.87,8.3,7.24
Monterrey,5.68,8.43,2.26,8.92,6.32
La Romana,6.71,5.26,7.41,5.74,6.28
Dresden,6.66,4.63,5.82,8.91,6.5
Bremen,6.41,1.88,7.08,6.32,5.42
Torino,6.31,10.0,6.85,10.0,8.29
Niamey,6.52,10.0,3.3,9.6,7.36
Bari,6.48,9.88,7.13,10.0,8.37
Perth,4.69,6.15,6.62,6.72,6.04
Cozumel,7.22,6.61,1.68,9.14,6.16
Djibouti,6.1,0.0,0.0,0.4,1.62
Port-au-Prince (Haiti),6.39,9.67,4.35,7.4,6.95
Sochi,5.27,3.91,2.31,6.0,4.37
Durban,4.04,7.05,4.8,8.68,6.14
Yangon,6.82,0.82,6.47,1.11,3.8
Sendai,6.28,9.99,6.56,0.61,5.86
Madeira,6.19,6.67,6.33,8.46,6.91
Asturias,7.1,6.08,8.07,9.59,7.71
Volgograd,7.0,8.32,2.67,8.97,6.74
Mendoza,5.73,9.72,4.54,8.91,7.22
Lille,7.03,1.69,8.88,7.59,6.3
Salvador,6.0,8.24,7.04,9.21,7.62
Takamatsu,6.63,9.57,6.6,2.18,6.24
Cordoba,5.43,10.0,8.45,9.53,8.35
Exeter,7.11,4.54,7.2,6.23,6.27
Kilimanjaro,7.97,7.69,7.57,8.41,7.91
Douala,6.53,10.0,8.78,9.79,8.78
Weihai Dashuibo,6.4,0.0,5.1,1.88,3.34
Brisbane,5.85,10.0,7.9,8.0,7.94
Lusaka,5.05,10.0,0.6,9.87,6.38
Antigua,6.63,10.0,8.33,7.26,8.06
Munster-Osnabruck,5.33,9.77,6.67,7.49,7.32
Rotterdam,8.01,9.39,9.71,10.0,9.28
Paderborn,3.58,0.9,9.52,5.73,4.93
Phu Quok,8.06,0.0,6.94,1.64,4.16
Genoa,6.97,10.0,6.87,8.15,8.0
Kigali,4.66,10.0,2.44,3.96,5.26
Dortmund,6.65,10.0,8.03,10.0,8.67
Mombasa,5.65,10.0,9.46,9.34,8.61
Malmo,7.34,0.74,6.37,7.55,5.5
Mazatlan,6.82,4.85,2.9,8.67,5.81
Dalian Zhoushuizi,6.64,0.11,0.35,0.01,1.78
Mudanjiang Hailang,6.85,1.32,7.72,0.97,4.22
La Paz Manuel Marquez de Leon,7.55,9.0,2.25,8.85,6.91
Konya Airport,5.94,6.13,6.94,7.92,6.73
Hiroshima,5.67,10.0,6.73,1.12,5.88
Okayama,6.22,9.51,4.38,0.0,5.03
Nanchang Changbei,8.5,4.43,8.75,0.0,5.42
Belo Horizonte,6.78,6.98,9.1,10.0,8.22
Pula,4.95,10.0,4.33,9.81,7.27
Liberia,3.47,9.96,7.59,8.51,7.38
Abuja,6.57,6.35,3.76,9.1,6.44
Yangyang,5.39,0.0,0.15,0.0,1.38
A Coruna,7.86,4.06,10.0,9.57,7.87
Norwich,7.3,0.0,4.98,1.94,3.56
Aalborg,7.83,0.86,6.74,8.1,5.88
Auckland,4.0,0.13,0.0,0.0,1.03
Treviso,5.87,0.32,3.05,6.74,4.0
Ramon,5.72,10.0,0.0,0.0,3.93
Ekaterinburg,6.2,0.14,2.72,3.13,3.05
Kutahya Airport,5.31,3.76,0.74,0.0,2.45
Samana El Catey,7.56,4.08,0.0,0.0,2.91
Minsk,5.32,9.7,1.56,0.15,4.18
Humberside,6.8,2.62,0.44,0.49,2.59
Min Vody,8.04,2.39,3.01,5.63,4.77
St. George's Point Saline,6.95,6.07,10.0,8.2,7.8
Katima Mulilo,5.34,0.0,0.0,0.1,1.36
Graz,6.81,10.0,8.28,8.94,8.51
Kavala,6.22,3.25,0.0,0.0,2.37
Natal,6.62,4.11,10.0,7.37,7.02
Florianopolis,6.27,8.17,1.67,9.79,6.48
Grenoble,8.06,0.32,0.19,0.11,2.17
Ostrava,6.73,7.77,0.19,0.02,3.68
Sydney,6.67,10.0,3.29,1.93,5.47
Tarbes - Lourdes,6.43,3.31,0.14,0.31,2.55
Brasilia,7.52,7.69,9.32,9.64,8.54
Zadar,7.58,9.34,8.77,10.0,8.92
Porto Alegre,6.98,7.96,7.94,8.78,7.92
Harbin Taiping,10.0,4.19,6.1,4.99,6.32
Recife,7.16,9.12,9.62,8.49,8.6
Mitilini,8.29,2.13,4.99,7.56,5.74
Amritsar,5.75,10.0,1.38,9.72,6.71
Anna,6.45,9.9,0.88,9.36,6.65
Goa,6.0,9.95,2.09,9.39,6.86
Jaipur,5.71,9.83,1.55,9.51,6.65
Karipur,6.82,9.1,1.64,9.7,6.82
Lucknow,5.29,9.86,1.46,10.0,6.65
Mangalore,5.53,9.39,1.24,9.33,6.37
Netaji Subhash Chandra Bose Int. Airport,6.0,10.0,2.01,9.85,6.96
Sardar Vallabh Bhai Patel,6.32,10.0,0.96,9.9,6.8
Trichy,5.73,10.0,1.93,9.42,6.77
Granada,6.85,0.0,7.94,9.29,6.02
Yinchuan Hedong,6.48,0.35,0.08,0.94,1.96
Gaborone,6.02,0.0,0.68,9.75,4.11
Haiphong,9.5,0.0,4.63,0.64,3.69
Sierra Leone,6.68,9.51,4.73,9.7,7.65
Chambery,8.07,0.0,0.32,0.0,2.1
London Southend Airport,8.82,4.16,6.08,6.21,6.32
Bujumbura,6.54,10.0,4.24,8.01,7.2
Ixtapa Zihuatanejo,7.12,1.78,4.78,8.27,5.49
Shizuoka,8.53,9.63,8.44,7.48,8.52
Vaxjo,8.67,9.18,0.0,0.0,4.46
Basseterre (Saint Kitts),5.97,6.47,4.98,4.15,5.39
Strasbourg,6.86,5.82,9.31,8.19,7.54
Maputo,8.35,0.0,0.0,0.68,2.26
Samarkand,6.25,10.0,0.67,5.93,5.71
Denizli Cardak Airport,7.01,0.0,6.3,5.12,4.61
Queretaro,6.66,9.85,2.13,5.66,6.07
Shandong,7.32,0.47,0.09,0.0,1.97
Kagoshima,3.93,8.89,8.46,6.12,6.85
Tozeur,7.44,1.57,0.0,0.0,2.25
Kinshasa,7.48,9.27,0.0,0.59,4.34
Acapulco,5.34,1.02,2.21,6.16,3.68
Samos,6.73,4.05,4.73,6.83,5.59
Samara,3.49,10.0,4.95,10.0,7.11
Rosario,5.53,9.95,5.77,10.0,7.81
Cairns,8.56,0.0,6.88,1.98,4.36
Kalibo,7.63,10.0,8.67,0.02,6.58
Lulea,6.26,9.71,8.19,10.0,8.54
Nykoping,8.97,9.74,5.98,9.39,8.52
Quanzhou,6.17,10.0,0.0,0.08,4.06
Erfurt,7.83,9.64,0.38,0.44,4.57
Sihanoukville,5.81,3.68,0.76,0.16,2.6
Miyazaki,6.66,10.0,2.37,0.19,4.81
Xuzhou Guanyin,5.94,1.06,0.02,0.86,1.97
Karpathos,4.86,0.0,0.76,0.1,1.43
Oita,8.88,0.0,3.09,0.82,3.2
Bariloche,9.45,10.0,4.97,9.38,8.45
Radom,6.14,9.5,0.0,0.0,3.91
Aktau,6.4,0.0,0.7,0.0,1.78
Umea,8.17,7.53,0.07,6.4,5.54
Fukushima,6.62,0.78,0.0,5.53,3.23
Coolangatta,5.52,0.0,4.81,7.79,4.53
Marka,5.5,0.0,0.14,0.0,1.41
Ioannina,5.18,9.49,0.0,0.16,3.71
Hatay Airport,4.0,0.0,0.0,0.0,1.0
Shymkent,7.08,0.25,0.9,0.13,2.09
Kazan,7.59,0.68,0.0,0.2,2.12
Gothenburg,6.99,0.08,6.21,5.67,4.74
Luanda ,6.39,9.75,1.24,2.87,5.06
Manama ,6.48,9.63,4.19,7.46,6.94
Lanzarote,4.34,7.38,9.23,8.36,7.33
Aarhus,5.05,0.5,0.0,0.0,1.39
Glasgow Prestwick,5.79,1.33,4.98,0.46,3.14
Queenstown,4.49,10.0,6.7,3.23,6.1
Juba,5.62,10.0,8.28,8.45,8.09
