Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Duesseldorf,6.8,0.0,0.67,7.15,3.66
Changchun Longjia,5.96,10.0,0.06,9.93,6.49
Managua,6.87,9.46,0.24,5.83,5.6
Enfidha,6.85,9.99,0.09,8.55,6.37
Fortaleza,6.87,10.0,0.87,7.68,6.36
Aalborg,6.67,0.0,8.01,0.0,3.67
St. Maarten Princess Juliana,5.76,0.0,1.34,0.0,1.78
Dushanbe,7.86,0.0,5.0,0.0,3.22
Sochi,6.75,0.0,0.33,2.77,2.46
Basel,6.35,10.0,0.21,4.59,5.29
Umea,7.08,0.0,0.0,9.71,4.2
Amsterdam - Schiphol,6.79,0.0,0.5,0.0,1.82
Tokyo - Narita,6.55,9.51,0.13,8.71,6.23
Praia,6.85,10.0,0.22,9.57,6.66
Mudanjiang Hailang,6.71,8.45,0.0,0.0,3.79
Prague,6.07,0.0,1.1,0.0,1.79
Medina,6.87,10.0,0.31,0.0,4.3
Kos,6.72,0.0,0.0,0.0,1.68
Buenos Aires Aeroparque,6.91,0.0,0.7,0.0,1.9
Lagos,6.83,10.0,0.2,9.65,6.67
Warsaw-Modlin,6.92,0.0,1.34,9.04,4.32
Jeju,6.06,9.74,0.28,3.32,4.85
Mazatlan,6.85,9.32,0.4,10.0,6.64
Pamandzi,4.85,0.0,3.6,10.0,4.61
Graz,6.79,0.0,0.51,10.0,4.32
Dubai,6.57,8.82,0.04,9.07,6.12
Kinshasa,6.92,0.0,1.2,0.0,2.03
Goa,4.87,0.0,3.93,7.18,4.0
Niamey,5.0,0.0,1.11,0.0,1.53
Santiago De Compostela,6.79,0.0,0.24,9.19,4.06
Treviso,5.69,0.0,0.39,9.87,3.99
Genoa,5.76,0.0,3.0,0.0,2.19
Suleymania Airport,6.81,0.0,3.46,0.0,2.57
Munster-Osnabruck,4.9,0.0,9.14,6.56,5.15
Samara,6.67,0.0,0.63,10.0,4.32
Baku,4.94,0.0,2.89,9.91,4.44
Manama,6.74,5.51,0.19,0.0,3.11
Paramaribo,6.79,0.0,1.64,4.13,3.14
Rome Fiumicino,6.87,0.0,0.38,9.63,4.22
Mitilini,6.77,0.0,0.36,0.0,1.78
Tulear,6.97,0.0,0.0,0.0,1.74
Tunis,6.4,9.99,0.05,8.87,6.33
Zia,4.93,0.0,2.24,9.85,4.26
Luxor,6.79,0.0,0.09,8.96,3.96
Adelaide,6.19,0.0,3.24,5.83,3.82
Pula,8.89,0.0,5.0,0.0,3.47
Conakry,9.17,0.0,5.0,0.0,3.54
Amritsar,4.87,0.0,3.93,6.89,3.92
Marrakech,6.43,9.98,0.03,9.49,6.48
Tel-Aviv,5.42,0.0,0.51,9.85,3.94
Milan - Linate,6.88,0.0,0.26,4.11,2.81
Rabat,6.53,10.0,0.04,4.54,5.28
Chisinau,7.76,0.0,5.0,0.0,3.19
Danang Downtown Shop,0.0,0.0,0.0,0.0,0.0
La Paz El Alto,10.0,0.0,0.0,0.0,2.5
Chambery,6.86,0.0,0.0,0.0,1.72
London City,6.8,0.0,0.68,8.87,4.09
Providenciales (Turks and Caicos),7.5,0.0,5.0,0.0,3.12
Ufa,7.62,0.0,5.0,0.0,3.16
Abuja,6.28,10.0,0.44,8.42,6.28
London Luton,6.46,0.0,0.48,8.77,3.93
Granada,5.76,0.0,2.53,9.31,4.4
Novosibirsk,6.83,0.0,0.1,9.25,4.04
Paris Charles De Gaulle,6.67,10.0,0.42,8.44,6.38
Olsztyn,6.84,0.0,0.0,0.0,1.71
Iwate,6.67,0.0,5.0,9.52,5.3
Harbin Taiping,6.75,0.0,0.06,0.0,1.7
Vienna,6.77,0.0,0.36,8.52,3.91
Aberdeen,6.44,0.0,0.36,9.6,4.1
Antigua,6.79,0.0,0.73,0.0,1.88
Glasgow,6.48,0.0,0.15,0.01,1.66
Quito,6.86,9.73,0.56,6.8,5.99
Sharm El Sheikh,6.78,0.0,0.08,9.19,4.01
Fukuoka,6.51,9.46,0.1,0.0,4.02
Wuxi Shuofang,6.71,10.0,0.07,9.95,6.68
Sierra Leone,5.42,0.0,5.0,9.8,5.06
Lodz,6.83,0.0,0.75,9.61,4.3
Dublin,5.83,0.0,2.14,3.3,2.82
Recife,6.86,9.99,0.29,9.49,6.66
Astrakhan,6.9,0.0,0.0,8.46,3.84
Salalah,6.73,0.0,0.71,0.0,1.86
Salvador,6.84,10.0,0.67,9.09,6.65
Sydney,6.67,0.0,0.96,9.84,4.37
Abidjan,6.56,10.0,0.19,0.0,4.19
Sardar Vallabh Bhai Patel,4.87,0.0,3.93,3.78,3.14
Natal,6.84,10.0,0.24,4.78,5.46
Amman,6.02,10.0,0.09,0.0,4.03
Puerto Plata,6.82,9.11,0.38,7.83,6.04
Kingston,6.67,0.0,1.45,0.0,2.03
Stavanger,6.78,0.0,0.38,9.28,4.11
Bandaranaike,5.1,0.0,2.51,9.66,4.32
Nis,6.53,0.0,0.0,0.0,1.63
Mombasa,9.0,0.0,0.0,0.0,2.25
Roland Garros,6.67,10.0,1.52,7.17,6.34
Cheongju,6.08,9.9,0.28,4.47,5.18
Gabon,6.79,0.0,0.26,5.83,3.22
Xian Xianyang,6.49,9.82,0.06,5.73,5.53
Marsa Aalam,6.73,0.0,0.0,9.92,4.16
Grenoble,6.35,10.0,0.0,10.0,6.59
Zaporizhya,8.04,0.0,0.0,0.0,2.01
Karlsruhe Baden-Baden,10.0,0.0,5.0,0.0,3.75
Podgorica,5.56,0.0,5.0,9.87,5.11
Konya Airport,6.87,8.06,0.08,9.87,6.22
Pengsheng,5.0,0.0,0.13,0.44,1.39
