IATA,CLUSTER_IATA,SIMILARITY_SCORE,RANK
BIQ,KEJ,0.999649900083,2
BIQ,PNS,0.998176801177,3
BIQ,AAQ,0.997037969390,4
BIR,MIG,0.993804885048,1
BIR,LXA,0.971242276776,2
BIR,CIF,0.946857316798,3
BIR,AEP,0.923071020004,4
BIS,AAR,0.999752560571,1
BIS,NSI,0.999587311985,2
BIS,GRB,0.999513292504,3
BIS,JKH,0.998689858569,4
BJA,TOD,0.999643555831,1
BJA,NUE,0.999642645909,2
BJA,BEN,0.997570020077,3
BJA,UET,0.997159733687,4
BJL,HAU,0.999938912587,1
BJL,BGR,0.999749365675,2
BJL,BLK,0.997695192989,3
BJL,TVC,0.997688599318,4
BJM,FJR,0.999208626154,1
BJM,TU_027-03,0.998378046116,2
BJM,KZS,0.997974138998,3
BJM,JIB,0.997855160081,4
BJP,MQL,0.999579815732,1
BJP,BHD,0.999125330038,2
BJP,SCW,0.997944042528,3
BJP,ZAD,0.997669787047,4
BJV,CHG,0.999400025687,1
BJV,HMO,0.998534425406,2
BJV,PMY,0.997490934778,3
BJV,NTE,0.997148873963,4
BJX,QGZ,0.999795304090,1
BJX,XAP,0.999279730030,2
BJX,CAY,0.998751816862,3
BJX,GCI,0.997843705365,4
BJZ,AFA,0.999073863637,1
BJZ,MYR,0.999006969299,2
BJZ,AMM,0.998450575018,3
BJZ,BHI,0.998142644471,4
BKI,IXA,0.993438107978,1
BKI,TU_007-05,0.991553949020,2
BKI,NBS,0.988566128430,3
BKI,BOM,0.986519381878,4
BKK,KPO,0.998767694731,1
BKK,BBI,0.996367732489,2
BKK,CGY,0.996290966988,3
BKK,BHY,0.993234941332,4
BKO,MGQ,0.999359254197,1
BKO,MPM,0.998723568235,2
BKO,PUF,0.998364587124,3
BKO,JAN,0.997884274795,4
BKS,BVA,0.998076547172,1
BKS,LPT,0.994392947231,2
BKS,HLH,0.992931888907,3
BKS,NAW,0.992264159352,4
BLA,JGD,0.998884489105,1
BLA,OGG,0.998378425967,2
BLA,BTS,0.997581204180,3
BLA,LUQ,0.996000019408,4
BLI,DAR,0.999697272838,1
BLI,YNB,0.999548310718,2
BLI,PGF,0.999432825142,3
BLI,SLU,0.999107512036,4
BLJ,MXJ,0.999395762311,1
BLJ,RTB,0.999184145967,2
BLJ,MBX,0.998367353220,3
BLJ,LSI,0.998184888347,4
BLK,BGR,0.997945827314,1
BLK,HAU,0.997756280402,2
BLK,BJL,0.997695192989,3
BLK,SIT,0.997512790443,4
BLL,LCG,0.999754440826,1
BLL,HMB,0.998168697859,2
BLL,DIJ,0.998114376286,3
BLL,VDM,0.997468957047,4
BLQ,ZTH,0.998864897646,1
BLQ,BSL,0.998502015257,2
BLQ,TBT,0.998412549797,3
BLQ,CUF,0.997496981816,4
BLR,OKA,0.996365194995,1
BLR,TAC,0.996248431706,2
BLR,HDN,0.986859568456,3
BLR,RSU,0.985456090844,4
BMA,PAH,0.998980760297,1
BMA,NJC,0.998945609072,2
BMA,HMA,0.998656850652,3
BMA,FSC,0.997660338883,4
