Location	Cat_A	Cat_B	Cat_C	Cat_D	Avg_Score
La Palma	5.42	5.8	9.02	8.07	7.08
Gabon	7.5	9.37	8.07	9.39	8.58
Dar Es Salaam	7.78	6.64	5.58	9.56	7.39
Southampton	3.33	0.5	5.01	1.95	2.7
Pisa	6.48	6.84	8.64	9.79	7.94
Mykonos	7.33	4.21	3.67	8.22	5.86
Windhoek	6.11	10	9.69	8.85	8.22
Cardiff	4.44	4.02	7.35	6.43	5.56
Charleroi	7.78	9.11	9.31	9.95	9.04
Penang	5.71	0.44	5.17	1.76	3.27
Aqaba	6.44	5.46	0	0	2.98
Wenzhou Longwan	6.3	0.24	0.78	0.42	1.94
Adana Airport	5.45	7	3.74	8	6.05
Fuzhou Changle	8.67	1.05	3.93	1.52	3.79
Luxor	7.25	10	6.54	7.52	7.1
Belize City	4.87	10	2.33	0.31	2.5
Beauvais	6.25	2.94	8.41	6.59	6.05
Milan - Linate	6.47	8.61	6.06	9.27	7.6
Skiathos	6.19	5.2	0	0	2.85
Cologne	6.06	7.24	7.98	9.76	7.76
Nanning Wuxu	7.33	0.68	8.88	1.24	4.53
Sanya Fenghuang	7.33	5.73	8.45	6.31	6.95
Ohrid	5.45	10	0	0	1.82
Managua	6.67	1.34	5.37	7.42	5.2
Banjul	7.22	5.16	6.3	8.69	6.84
Melbourne	6.36	10	8.17	5.45	6.66
Astana	6.3	8.53	3.31	0	4.53
Aktio	6.67	2.88	0	0	2.39
Fortaleza	7.2	7.42	8.69	9.25	8.14
Bandaranaike	5.78	10	2.26	7.44	5.16
London City	6.67	8.38	5.74	7.73	7.13
Kingston	6.41	10	5.07	3.1	4.86
Moscow - Domodedovo	5.67	1.43	4.6	4.62	4.08
Siem Reap	7.67	1.51	5.25	3.11	4.38
Palermo	5.95	3.67	6.63	8.27	6.13
Jerez De La Frontera	5.83	6.23	7.58	7.66	6.82
Faroe Islands	5.56	10	8.67	5.69	6.64
Ouarzazate	8.48	8.5	0	0	4.24
Astrakhan	6.41	3.66	2.12	5.23	4.36
Hefei Xinqiao	5.56	0.22	9.12	0.45	3.84
Lubumbashi	8.33	10	9.65	0	5.99
Tulear	5	0	0	0	1.25
Helsinki-Vantaa	8.33	10	9.06	9.44	8.94
Wuxi Shuofang	5	0.78	0.12	1.27	1.79
Wellington	7.5	10	6.68	2.94	5.71
Zagreb	6.67	10	7.12	10	6.9
Diyarbakir Airport	6.14	4.95	4.9	8.07	6.02
Jinan Xiaoqiang	5	1.26	2.52	1.76	2.64
Salzburg	6.25	10	5.86	10	6.06
Eindhoven	5.56	10	7.17	9.76	7.5
Florence	5.88	8.69	6.34	9.76	7.67
Dubrovnik	10	10	6.35	10	6.35
Zhengzhou Xinzheng	8	1.05	3.04	1.35	3.36
Santander	7.33	2.21	7.51	7.28	6.08
St. Petersburg Pulkovo	4.33	3.7	3.86	7.28	4.79
Krasnoyarsk	6.67	5.23	2.59	3.9	4.6
Conakry	6.3	10	8.61	7.5	7.47
Bournemouth	4.44	4.29	6.59	6.38	5.42
Lagos	6.67	5.97	6.13	8.77	6.88
Viracopos	7.2	8.07	9.25	9.6	8.53
Kota Kinabalu	3.81	3.22	4.24	1.94	3.3
Nouakchott	6.67	7.76	6.13	8.51	7.27
Monterrey	6.55	8.08	1.53	9.33	6.37
La Romana	7.02	4.7	7.3	5.86	6.22
Dresden	6	4.28	6.54	9	6.46
Bremen	6.11	2.06	7.39	6.38	5.48
Torino	6.67	10	7.42	10	7.04
Niamey	5.93	10	3.64	9.08	6.22
Bari	6.67	10	7.82	10	7.24
Perth	5.26	6.03	6.67	7.37	6.33
Cozumel	7.59	7.05	2.08	8.79	6.38
Djibouti	6	0	0	0	1.5
Port-au-Prince (Haiti)	6	10	4.65	8.34	6.33
Sochi	5.56	2.83	2.87	5.49	4.19
