Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_C,Cat_D,Avg_Score
Yantai Penglai,6.03,2.0,10.0,94.0,0.3,0.23,0.09,1.6625
Lima,6.77,4.0,0.0,132.0,0.19,0.01,0.05,1.755
London Southend Airport,6.74,1.0,0.0,43.0,0.0,0.01,,2.25
Rabat,6.53,8.0,8.0,191.0,0.99,0.01,0.13,1.915
Guangzhou Baiyun,6.09,1.0,9.0,98.0,0.3,0.0,7.57,3.49
Antalya Gazipasa Airport,6.83,10.0,0.0,207.0,0.02,0.01,,2.2866666666666666
Cozumel,6.87,5.0,0.0,83.0,0.44,0.0,,2.436666666666667
Danang,6.67,0.0,0.0,38.0,2.76,0.26,,3.23
Berlin Brandenburg,6.82,3.0,0.0,65.0,10.0,0.0,,5.6066666666666665
Tbilisi,6.83,2.0,0.0,41.0,10.0,0.01,,5.613333333333333
Monterrey,6.84,4.0,0.0,77.0,1.74,0.0,0.24,2.205
Leeds Bradford,6.23,0.0,4.0,61.0,0.07,0.0,0.16,1.6150000000000002
Bergen,6.81,2.0,0.0,45.0,10.0,0.0,0.03,4.21
Naha,4.94,0.0,7.0,27.0,10.0,0.26,0.03,3.8075
Katowice,5.0,0.0,5.0,20.0,10.0,0.0,0.36,3.84
Harbin Taiping,6.75,2.0,0.0,77.0,0.68,0.21,,2.5466666666666664
Baku,4.94,1.0,8.0,29.0,10.0,0.0,1.65,4.1475
Zaporizhya,8.04,7.0,0.0,17.0,,,,8.04
Paramaribo,6.79,1.0,0.0,28.0,10.0,0.01,0.11,4.2275
Murcia,6.75,1.0,0.0,39.0,0.14,,0.7,2.53
Kayseri Airport,6.84,10.0,0.0,191.0,2.16,0.0,,3.0
Santiago Cibao,6.79,2.0,0.0,55.0,0.12,0.0,0.07,1.745
Treviso,5.69,1.0,3.0,17.0,0.0,0.0,0.16,1.4625000000000001
Hangzhou Xiaoshan,6.09,1.0,9.0,98.0,0.3,0.01,9.49,3.9725
Montego Bay,6.73,3.0,0.0,155.0,0.09,0.0,0.05,1.7175
Cayenne,6.45,3.0,3.0,47.0,0.34,0.03,,2.2733333333333334
Dalian Zhoushuizi,6.75,2.0,0.0,81.0,0.3,0.17,6.23,3.3625
Rio de Janeiro,6.82,6.0,0.0,128.0,0.47,0.0,0.26,1.8875
Mudanjiang Hailang,6.71,1.0,0.0,82.0,0.3,1.47,,2.8266666666666667
Gerona,6.44,2.0,3.0,59.0,0.02,0.01,1.11,1.895
Shannon,5.0,0.0,2.0,8.0,10.0,0.0,0.0,3.75
Chongqing Jiangbei,5.99,1.0,10.0,94.0,0.3,0.01,9.64,3.9850000000000003
Los Cabos,6.83,6.0,0.0,121.0,0.29,0.0,,2.3733333333333335
Aswan,6.79,4.0,0.0,108.0,0.0,0.05,0.29,1.7825
Florianopolis,6.79,3.0,0.0,81.0,0.58,0.34,0.0,1.9275
Cukurova Airport,6.86,9.0,0.0,158.0,0.86,,,3.8600000000000003
Rostov Don,7.81,13.0,0.0,38.0,,,,7.81
Piarco,6.67,0.0,0.0,85.0,,0.0,0.05,2.2399999999999998
Fortaleza,6.87,4.0,0.0,67.0,0.94,0.01,0.07,1.9725000000000001
Glasgow,6.48,0.0,2.0,73.0,0.01,0.0,0.07,1.6400000000000001
Bristol,6.47,0.0,2.0,69.0,0.01,0.0,,2.1599999999999997
Nice,6.77,4.0,1.0,65.0,2.03,0.04,,2.946666666666666
Yinchuan Hedong,6.52,0.0,2.0,88.0,0.3,0.08,,2.3
Salvador,6.84,3.0,0.0,59.0,0.39,0.06,0.04,1.8324999999999998
Ulaanbaatar,6.67,0.0,0.0,81.0,9.31,0.28,,5.420000000000001
Bariloche,5.0,1.0,1.0,2.0,,3.3,0.09,2.796666666666667
Santiago Arturo Merino Benitez,6.67,0.0,0.0,84.0,0.16,0.0,,2.276666666666667
Krakow Balice,6.79,2.0,0.0,55.0,0.02,0.0,0.14,1.7374999999999998
Singapore - Changi,6.83,3.0,0.0,62.0,10.0,0.0,3.57,5.1
Addis Ababa,6.81,7.0,0.0,163.0,0.29,0.0,1.16,2.065
Oslo,6.78,2.0,0.0,60.0,10.0,0.0,,5.593333333333334
Pointe-a-Pitre,6.35,3.0,4.0,53.0,0.34,0.0,0.59,1.8199999999999998
Porto,6.89,3.0,0.0,45.0,0.14,0.0,1.36,2.0974999999999997
Bujumbura,5.0,0.0,4.0,16.0,10.0,0.04,0.02,3.7649999999999997
Phu Quok,6.87,2.0,0.0,33.0,0.35,0.03,0.0,1.8125
Marseille,6.76,4.0,1.0,68.0,2.23,0.0,0.2,2.2975
Shandong,6.85,4.0,0.0,72.0,,,,6.85
Grenoble,6.35,2.0,2.0,21.0,1.52,,,3.9349999999999996
Brasilia,6.81,4.0,0.0,93.0,0.19,0.01,0.15,1.79
Porto Alegre,6.85,4.0,0.0,73.0,3.33,0.05,0.6,2.7075
Nanning Wuxu,6.7,3.0,1.0,88.0,0.34,0.17,2.92,2.5324999999999998
Bydgoszcz,5.17,1.0,5.0,20.0,10.0,0.01,0.98,4.04
Abidjan,6.56,4.0,3.0,64.0,0.12,0.01,,2.23
Corfu,5.59,1.0,11.0,65.0,0.45,0.01,0.26,1.5775
Moscow - Domodedovo,6.76,2.0,0.0,68.0,0.11,0.02,2.46,2.3375
Chania,5.86,2.0,8.0,58.0,0.13,0.01,2.03,2.0075
Marka,6.89,2.0,0.0,30.0,0.91,,,3.9
Praia,6.85,3.0,0.0,55.0,0.85,0.01,5.51,3.3049999999999997
Recife,6.86,5.0,0.0,88.0,0.82,0.01,0.06,1.9375
Wuhan Tianhe,6.07,1.0,9.0,95.0,0.3,0.01,9.7,4.02
Juba,6.9,1.0,0.0,14.0,10.0,0.04,0.31,4.312499999999999
Cardiff,6.43,0.0,2.0,57.0,0.0,0.01,0.0,1.6099999999999999
Ostrava,6.83,1.0,0.0,20.0,2.5,,0.19,3.1733333333333333
London Gatwick,6.58,2.0,2.0,74.0,0.01,0.0,,2.1966666666666668
Denizli Cardak Airport,6.85,5.0,0.0,93.0,0.32,0.11,0.56,1.96
Panama Tocumen,6.79,3.0,0.0,81.0,0.2,0.0,0.29,1.82
Basel,6.35,5.0,7.0,94.0,0.28,0.0,0.3,1.7325
Tokyo - Haneda,5.05,0.0,8.0,33.0,10.0,0.0,0.04,3.7725
Milan - Malpensa,6.82,3.0,0.0,67.0,0.76,0.0,0.15,1.9325
Moscow - Sheremetyevo,6.8,2.0,0.0,49.0,1.08,0.01,,2.63
London Luton,6.46,2.0,3.0,64.0,0.58,0.01,0.32,1.8425
London Stansted,6.57,2.0,2.0,72.0,0.01,0.0,0.72,1.825
Natal,6.84,4.0,0.0,77.0,0.5,0.07,0.19,1.9000000000000001
Rhodes,5.6,1.0,13.0,78.0,0.18,0.01,0.11,1.4749999999999999
Lodz,6.83,2.0,0.0,41.0,0.37,0.01,1.3,2.1275
Olsztyn,6.84,2.0,0.0,39.0,2.0,,,4.42
Guatemala City,6.89,4.0,0.0,61.0,0.0,0.0,0.14,1.7574999999999998
Perth,6.71,1.0,0.0,70.0,0.37,0.0,,2.36
San Salvador Comalapa,6.84,4.0,0.0,76.0,0.28,0.0,0.0,1.78
Durban,6.74,1.0,0.0,45.0,1.88,0.01,0.3,2.2325000000000004
Yerevan,6.67,0.0,0.0,82.0,8.14,0.0,0.06,3.7175000000000002
Tunis,6.4,5.0,9.0,160.0,0.01,0.0,0.15,1.6400000000000001
Alicante,6.32,1.0,4.0,68.0,0.17,0.0,0.16,1.6625
Antigua,6.79,1.0,0.0,28.0,10.0,0.0,,5.596666666666667
Tegucigalpa,9.0,7.0,0.0,10.0,,,,9.0
Ohrid,6.83,3.0,0.0,63.0,10.0,,0.17,5.666666666666667
Birmingham,6.38,0.0,3.0,71.0,0.01,0.0,1.11,1.875
Rosario,6.9,1.0,0.0,14.0,,0.51,4.03,3.813333333333334
Enfidha,6.85,7.0,0.0,127.0,0.27,0.0,0.06,1.7949999999999997
Basseterre (Saint Kitts),6.79,3.0,0.0,81.0,0.25,0.01,,2.35
Krasnodar,7.47,6.0,0.0,25.0,,,,7.47
Johor Bahru,6.13,0.0,2.0,25.0,2.63,2.21,0.09,2.7649999999999997
Cordoba,6.89,1.0,0.0,15.0,,0.16,,3.525
Palermo,6.86,2.0,0.0,34.0,0.0,0.01,1.11,1.995
Cheongju,6.08,0.0,9.0,102.0,0.91,0.13,2.65,2.4425
Cali,6.8,3.0,0.0,73.0,0.2,0.0,0.08,1.77
Mahon Airport,6.26,1.0,4.0,58.0,0.01,0.01,,2.0933333333333333
Copenhagen,6.83,2.0,0.0,41.0,10.0,0.0,0.93,4.4399999999999995
Salzburg,6.78,1.0,0.0,29.0,10.0,0.0,0.53,4.327500000000001
London City,6.8,2.0,0.0,50.0,0.18,0.01,0.03,1.755
Liverpool,6.47,0.0,2.0,68.0,0.0,0.0,,2.1566666666666667
Duesseldorf,6.8,3.0,0.0,75.0,10.0,0.0,0.09,4.2225
Cape Town,6.9,3.0,0.0,42.0,1.46,0.01,0.15,2.13
PRISTINA,6.93,6.0,0.0,75.0,10.0,0.0,3.22,5.0375
Fuerteventura,6.76,2.0,0.0,70.0,0.35,0.01,0.06,1.7949999999999997
Kazan,8.75,5.0,0.0,8.0,,,,8.75
Sardar Vallabh Bhai Patel,4.87,0.0,7.0,26.0,10.0,0.01,9.31,6.0475
Mangalore,4.87,0.0,7.0,26.0,10.0,0.01,0.13,3.7525000000000004
Zia,4.93,1.0,7.0,25.0,10.0,0.01,0.06,3.75
Espargos,6.5,5.0,5.0,99.0,0.68,0.01,0.0,1.7974999999999999
Ekaterinburg,6.79,1.0,0.0,28.0,10.0,0.01,1.63,4.6075
Novosibirsk,6.83,1.0,0.0,21.0,,0.01,0.07,2.3033333333333332
Strasbourg,6.92,1.0,0.0,13.0,3.33,0.0,1.83,3.02
Kota Kinabalu,6.67,0.0,0.0,20.0,3.75,0.41,0.47,2.825
Nanchang Changbei,6.62,1.0,1.0,80.0,1.61,0.37,4.77,3.3425
Muscat,6.78,2.0,0.0,61.0,10.0,0.01,1.16,4.487500000000001
Beirut - Rafik Hariri,6.77,2.0,0.0,63.0,0.0,0.0,0.09,1.7149999999999999
Elblag,5.0,0.0,4.0,16.0,4.17,,,4.585
Sanya Fenghuang,6.71,1.0,0.0,80.0,0.68,0.36,0.11,1.965
Southampton,6.71,1.0,0.0,72.0,0.01,0.01,,2.243333333333333
Cochin,6.67,0.0,0.0,31.0,10.0,0.01,0.22,4.2250000000000005
Stavanger,6.78,2.0,0.0,58.0,10.0,0.0,0.01,4.197500000000001
